Values,Definition & Questions,Saboteur, Con-Artist,Disciplined,Mercenary,Engaged,Enterpreneur
Responsibility,Definition,Exhibits systematic lateness,Attempts to avoid work in a structured manner,Exhibits a professional and fair-relationship,"Demonstrates responsibility within the confines of personal gain, aligning actions with personal objectives rather than a genuine commitment to overall organizational responsibilities.",Demonstrates responsibility within their department but may benefit from a broader perspective to ensure alignment with overall organizational responsibilities and goals.,Acts as the owner
,,Intentionally tries to avoid work by abusing sick leaves and other leave policies,Works the system/forges reports and/or timesheets,Fulfills assigned tasks and responsibilities as instructed but may lack proactive ownership and initiative in taking on additional responsibilities.,Performs non-work related activities during working hours,,Demonstrates exceptional work ethics
,,,,,,,"Takes ownership and responsibility for tasks, aligning actions with organizational goals and demonstrating a proactive commitment to overall responsibilities."
,The employee hasn't been involved in escalations against the integrity of our company/customers,Strongly Disagree/ Disagree,Neutral/Disagree,Neutral/Disagree/Agree,Neutral/Disagree,Strongly Agree,Strongly Agree
,,,,,,,
,,"Their actions involve sabotaging processes and disrupting workflows, which can escalate against the integrity of the company.","They are skilled in presenting a positive facade, and direct involvement in escalations might contradict their agenda of personal gain.","Neutral or agree/disagree, depending on their level of awareness or involvement in the escalation. Their focus on tasks as instructed may lead to a neutral or agree response.","While primarily focused on personal goals, might participate in escalations against the integrity of the company",Their commitment to the success of the department and the organization as a whole would likely deter them from participating in activities that escalate against integrity.,"They are driven by organizational goals, and involvement in activities harming the company's integrity would contradict their values."
,"The employee follows the process, methodology, and policies with security and ethicality in mind",Strongly Disagree / Disagree,Neutral/Agree,Strongly Agree,Neutral/Disagree,Neutral/Agree/Strongly Agree,Agree / Strongly Agree
,,,,,,,
,,"Likely to be perceived as not following processes and policies with security and ethicality in mind, given their inclination to disrupt workflows and potentially compromise security.","May be perceived as not genuinely following processes, methodologies, and policies with security and ethicality in mind, especially if their actions involve deceitful practices.","They follow processes, methodologies, and policies with security and ethicality in mind. Their commitment to tasks as instructed aligns with a disciplined adherence to established guidelines.",Their commitment to process only happens when the end result is their personal gain,"Their commitment to the success of the department and the organization would involve adhering to established guidelines. However, due to their focus on getting the work done, they might try to bypass processes in an attempt to deliver projects on time.",Actively follow processes with a strong emphasis on security and ethicality. Their alignment with organizational goals includes a commitment to ethical practices and security measures.
,The employee prioritizes well and works according to plan,Strongly Disagree / Disagree,Neutral/Disagree,Neutral/Agree,Neutral/Disagree,Agree/Strongly Agree,Strongly Agree
,,,,,,,
,,"They tend to not prioritize well and work according to a plan, given their inclination to  potentially deviate from organized plans.","They do not genuinely prioritize well or work according to a plan, especially because their actions involve manipulating plans for personal gain.",Their commitment to tasks as instructed aligns with a disciplined approach to planning and organization.,Their focus on personal gain might compromise the ability to prioritize and work according to a plan.,"Prioritize well and work according to department's plan, as their commitment to the success of the department and the organization involves organized and goal-oriented work.",Actively prioritize well and work according to the organizational plan. Their alignment with goals includes a strategic approach to planning for success.
,The employee hasn't been observed slacking or working on side jobs during working hours,Strongly Disagree,Strongly Disagree/Disagree,Agree/Strongly Agree,Disagree/Strongly Disagree,Agree/Strongly Agree,Strongly Agree
,,,,,,,
,,"Engage in behaviors that involve slacking or potentially working on side jobs during working hours, reflecting a lack of commitment to their primary responsibilities.","Potentially engage in side activities during working hours, especially if these activities contribute to their personal gain rather than the organization's goals.",Their commitment is to work on tasks as instructed aligned with a disciplined and focused work approach.,Their primary goal is to earn more money so they are easily spotted using working hours to conduct their side jobs ,Their commitment to the success of the department and the organization involves dedicated and focused work.,Their alignment with organizational goals includes a commitment to effective and purposeful work.
,The employee delivers quality work on time,Strongly Disagree/Disagree,Disagree/Neutral,Agree/Strongly Agree,Neutral/Agree,Agree/Stronly Agree,Strongly Agree
,,,,,,,
,,Their disruptive behavior may hinder the completion of tasks according to schedule.,"They might be perceived as not consistently delivering quality work on time, especially if their agenda involves manipulating outcomes","They deliver quality work on time, as their commitment to tasks as instructed aligns with a reliable approach.",Their focus on personal gain might or might not compromise the ability to deliver quality work on time.,Their dedication is to meeting deadlines with high-quality outcomes.,"Actively delivers quality work on time, as their alignment with organizational goals includes a commitment to excellence and timely completion of tasks."
,The employee makes decisions considering the strategy of the company/department,Strongly Disagree,Disagree,Neutral/Agree,Disagree,Agree,Strongly Agree
,,,,,,,
,,"Demonstrates a lack of alignment with the company's strategic goals, leading to disruptive choices","May prioritize personal objectives over strategic company decisions, potentially resulting in conflicting choices.","Decision-making process is limited within their tasks and the alignment with company strategy, comes from top-down breakdown.",They make decisions considering their personal gain.,"Actively considers company strategy in decision-making, demonstrating commitment to departmental success. Do not usually focus on organization-wide matters.","Consistently makes decisions that align with organizational goals, driving innovation and strategic success."
,The employee compensates for lost working hours when they are late,Strongly Disagree,Disagree,Agree,Neutral/Disagree,Agree/Strongly Agree,Strongly Agree
,,,,,,,
,,"Fails to make an effort to compensate for lost hours, contributing to disruptions in workflow and team productivity","May not feel compelled to make up for lost hours, prioritizing personal interests over the team's objectives.","Actively compensates for lost hours, ensuring tasks are completed on time and contributing to team efficiency.",They are less inclined to make additional efforts to make up for time lost during work hours if it doesn't contribute directly to their financial objectives.,Actively makes up for lost hours to meet deadlines and ensures continuity in team progress.,"Proactively compensates for lost hours, prioritizing task completion and overall project success."
Devotion to Learning,Definition,Little to no focus on learning and development opportunities,"Demonstrates a tendency to seek alternative methods or shortcuts, sometimes compromising on ethical standards, when it comes to learning and development initiatives.","Demonstrates a transactional approach to learning, engaging in tasks as required but may not actively seek opportunities for additional growth or development.","Engages in learning opportunities that align with personal goals, primarily focusing on acquiring skills or knowledge that directly contribute to increasing personal value and potential income.",Tries to overcome challenges by trial / error and takes advantage of the moment to learn and develop,Pursues continuous learning with a clear focus on how it contributes to both personal development and the achievement of organizational goals.
,,Actively seeks to outsmart the team and avoids putting in genuine effort towards continuous learning and development.,May prioritize personal gains over genuine commitment to the continuous improvement and growth emphasized by the organization's devotion to learning value.,,,"Actively engages in learning and development opportunities focused on departmental success, with potential for even greater impact by extending the focus to the broader organizational context.",
,,"Engages in behaviors that hinder personal and collective growth, demonstrating a lack of dedication to the organization's emphasis on learning as a valuable aspect of personal and professional development.",,,,,
,The employee exhibits a positive attitude toward obtaining new knowledge,Strongly Disagree/Disagree,Neutral/Disagree,Neutral/Agree,Neutral/Disagree,Agree/Strongly Agree,Strongly Agree
,,,,,,,
,,Their disruptive behavior hinder the growth mindset and learning culture.,"Don't genuinely exhibit a positive attitude toward obtaining new knowledge, especially if their agenda involves manipulating situations for personal gain rather than learning.",They possess a disciplined approach to continuous learning and development.,They exhibit positive attitude as long as the new knowledge is linked to their personal ambitions.,Possess strong commitment to continuous learning within their realm of knowledge.,Possess strong commitment to continuous learning regarding everything business-related.
,The employee takes a proactive approach to learning new things instead of expecting others to come up with answers,Strongly Disagree/Disagree,Disagree/Neutral,Neutral/Agree,Neutral/Disagree,Agree/Strongly Agree,Strongly Agree
,,,,,,,
,,Their focus on sabotaging workflows hinder any genuine interest in seeking new knowledge.,"Because they engage in manipulative tactics, their actual commitment to proactive learning is limited but difficult to spot on.",Likely to agree with taking a proactive approach to learning,They might not prioritize proactive learning unless it directly contributes to their financial objectives.,They take a proactive stance on acquiring new knowledge within their department's realm to contribute effectively.,"Their alignment with organizational goals includes a strong commitment to continuous learning, innovation, and staying ahead of industry trends. "
Remarkability,Definition,"Actively avoids drawing attention to themselves, not positively or notably.",Selective visibility for personal gain: Seeks attention but does so in a manner that primarily benefits personal interests rather than contributing positively to the organization.,"Maintains a consistent and steady performance without notable positive or negative contributions, aligning with the disciplined nature","Maintains a positive and agreeable demeanor, but the remarkable contributions are often driven by personal gain, to enhance individual standing and potentially income.",Takes advantage of learning opportunities and becomes the go-to person when it comes to new departamental challenges,"Strives to make positive and notable contributions, consistently aligning actions with the organization's values and goals, setting an example for others."
,,May engage in deceitful practices,"The Con-Artist's approach to being in the spotlight may be strategic, aiming for personal gain rather than embodying the organization's value of remarkability for the collective benefit.",,,"Makes notable contributions within their department, showcasing commendable dedication, yet an expansion of vision could lead to remarkable contributions that positively impact the organization as a whole.",Showcase a positive representation of the company
,The employee possess unique skills or qualities that make their work output remarkable,Disagree,Disagree,Neutral / Agree,Neutral / Disagree,Agree,Strongly Agree
,,,,,,,
,,"Actions may overshadow any unique skills, leading to disruptive rather than remarkable work outputs.","Their skills and effort are overlycommunicated by them, which can lead to an impression of a unique skill that cannot be proven afterwards.",Commitment to tasks results is consistent. They do not show signs of remarkability.,Their work may not be geared towards standing out for its excellence or uniqueness within the broader context of the team or company - evn though they might possess very well developed knowledge in certain areas of interest ,"Showcase unique skills, consistently contributing to remarkable work outputs for the department.","Unique skills drive innovative and remarkable outcomes, setting a benchmark for organizational success."
,The employee invests time and shows interest in developing their unique skills?,Strongly Disagree,Disagree,Neutral,Neutral / Agree,Agree,Strongly Agree
,,,,,,,
,,"May not invest time in skill development, hindering personal and professional growth within the organization.",Focus on showcasing some skills that might lead to minimal interest in the company.,"Actively invest time in developing skills as advised, contributing to continuous improvement and professional growth.","If suitable for their personal gain, they invest time in their skills.","Show genuine interest in skill development, enhancing personal contributions to the team.","Consistently invest time in developing unique skills, driving innovation and growth for the organization."
Respect,,Exhibits respectful communication and behavior on the surface.,Exhibits respectful communication and behavior on the surface. Demonstrates that he/she has a hidden agenda that may be conflicting.,Engages in respectful behavior and professional relationships but may not go above and beyond to foster a highly collaborative or innovative work environment.,"Exhibits respect and congeniality, yet interactions and behaviors are strategically aligned with personal objectives",Maintains respectful and collaborative relationships,Demontrates exceptional work ethics
,,"Instead of taking personal responsibility, the Saboteur tends to deflect blame onto the company for their own issues, undermining the value of respect by not acknowledging accountability for their actions and challenges.",,,,,"Exhibits respectful behavior and collaboration, fostering a positive work environment "
,The employee doesn't get involved in violating the company's reputation or the work of their colleagues through their opinions or actions,Disagree,Disagree,Agree,Neutral/Agree,Agree/Strongly Agree,Strongly Agree
,,,,,,,
,,Their actions tend to lead to reputational damage. They are quick to provide unstructured negative feedback regarding organizational and teams matters.,Manipulative practices might indirectly harm the company's reputation or colleagues' work.,"Avoid actions that could harm the company's reputation or colleagues' efforts, fostering a positive work environment."," Because their focus is often on individual goals, they may prefer maintaining a neutral stance rather than actively participating in actions that could negatively impact the company or their colleagues, as long as it doesn't hinder their personal objectives.","Actively protect the company's reputation and support colleagues, ensuring a positive work atmosphere.","Consistently uphold the company's reputation, fostering a positive work environment and team culture."
,The employee doesn't show signs of arrogance or dominance in their work with others,Strongly Disagree / Disagree ,Neutral/Agree,Agree,Neutral,Agree,Strongly Agree
,,,,,,,
,,"May display arrogance to prove their points, creating a negative working atmosphere.",They manipulate the narrative to dominate the work of others.,"Collaborate without arrogance, contributing to a positive work environment and effective teamwork.",Their approach to working with others may not necessarily involve overt displays of dominance. The interactions with colleagues may be more transactional but not arrogant.,"Works collaboratively, avoiding arrogance and fostering a positive team culture.","Leads with humility, encouraging collaboration, and fostering a positive work environment."
,"The employee responds well to feedback and suggestions from others, especially when it comes to their work or behavior in the workplace",Strongly Disagree,Neutral/Agree,Agree,Disagree,Agree/Strongly Agree,Agree/Strongly Agree
,,,,,,,
,,"They tend to come up with excuses for their lack of success. They usually find a way out (a person, a policy, a process) to blame when work does not go according to plan.",They might pretend that they accept the feedback as a form of not being put on the spotlight and make more effort that they judge to be unecessary.,"Value feedback, actively incorporating suggestions for improvement to enhance personal and team performance.","Being primarily driven by personal goals and financial interests, may not always be receptive to feedback that doesn't directly contribute to their individual success. They might prioritize actions that align with their own agenda rather than actively seeking or appreciating feedback for improvement. Their response to feedback may be more transactional, considering how it aligns with their personal objectives.","Embrace feedback, using it to enhance personal work and contribute positively to team dynamics.","Welcome feedback, using it to drive continuous improvement, innovation, and organizational success."
Collaboration,Definition,"Avoids active participation by delegating tasks to others, evading responsibilities, and hiding in the shadows of their colleagues' work","Appears outwardly collaborative but underneath, the Con-Artist's true agenda is structured for personal gain, potentially hindering genuine collaboration and the achievement of collective goals within the organization.",Collaborates as necessary but may not exhibit proactive or enthusiastic collaboration,Lacks community behavior - focuses only on personal goals,Actively seeks collaboration and alignment with department goals,Works with organizational goals in mind and exhibits positive attitude towards it
,,,,,"Collaborates strategically, often with an ulterior motive to advance personal goals",,"Actively engages in collaborative efforts, understanding the importance of teamwork and cross-functional collaboration in achieving organizational objectives."
,The employee shares knowledge in a structured manner and assists others when required,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree
,,,,,,,
,,Withholds knowledge and/or believes knowledge sharing is not under their scope of responsibilities,Might not willingly share knowledge,Shares knowledge in a structured manner according to company's processes,"They tend to believe that if they share the knowledge they have, they will be less influent and needed. Therefore, they do not share it in a structured way.","Actively assist otherss by sharing knowledge, fostering a collaborative environment.","Share knowledge consistently, contributing to the growth and success of the organization."
,The employee exhibits collaborative and productive behavior when assisting others and utilizes effective communication,Strongly Disagree,Disagree/Neutral,Agree,Neutral/Agree/Disagree,Strongly Agree,Strongly Agree
,,,,,,,
,,They exhibit uncooperative behavior when assisting others,Might assist others strategically,"Collaborates productively, ensuring effective communication and assistance, contributing to overall team success.",May not inherently prioritize collaboration with others unless it directly contributes to their individual success.,"Exhibit collaborative behavior, enhancing overall productivity through effective communication and assistance.","Collaborate effectively, driving productivity and innovation within the organization."
Adaptiveness,,"Presents a facade of positive behavior towards changes but consistently seeks workarounds to avoid genuine adaptation, hindering the organization's ability to navigate challenges effectively.","Skillfully presents a positive attitude towards change, investing considerable effort to maintain this appearance, yet their underlying agenda involves finding structured workarounds to avoid genuine adaptation.","Adapts to changes in a reactive manner when required, showcasing a disciplined but not overly flexible approach to handling ambiguity.",Due to transactional behavior may not adapt to changing goals,Handles ambiguity in a positive manner,"Navigates ambiguity with a positive and proactive attitude, demonstrating flexibility and resilience to ensure alignment with organizational goals."
,,,,,"Adapts to changes when it aligns with personal objectives, showcasing flexibility that is driven by personal gain rather than a genuine commitment to navigating organizational challenges.",,Adapts personal and departmental objectives and aligns them with organizational goals
,The employee responds positively to changes in his/her work environment and to organizational changes,Strongly Disagree/Disagree,Disagree,Neutral, Neutral/Agree/Disagree,Agree,Strongly Agree
,,,,,,,
,,"May resist and undermine changes, disrupting workflow and team dynamics.","Their defense mechanism is based on understanding how to effectively navigate the specifics of the company so when changes are applied, they feel frustrated. ","As long as they receive structured communication and detailed action plan in relation to what's expected of them during and after the changes, they respond well to them.",They do not have a strong inclination towards embracing or resisting change because it's solely based on personal preferences.,"Embrace and adapt to changes, contributing to a dynamic and innovative work environment. They might be reactive to changes within their department if they do not see the aimed organizational value.","Actively support and drive positive changes, fostering innovation, growth, and organizational success."
Innovation,,"Sabotages the company and its processes leading to disruptions in workflow and consequently, hindering innovation","Despite investing significant time and energy into personal goals, the Con-Artist's agenda-focused approach leaves little room for genuine innovation. Their self-centered actions hinder the organization's potential for creative thinking and innovative solutions.","Engages in tasks as instructed but may not actively contribute to innovative thinking or creative solutions, adhering to a disciplined and transactional work style.",Exhibits negative attitude towards department/company goals that do not suit their personal objective and hinders innovation,"Contributes innovatively within their department, and fostering a broader innovative mindset could lead to transformative contributions that benefit the entire organization.",Drives innovation by consistently seeking creative solutions that align with and contribute to the organization's overarching goals and objectives.
,,,,"Consistently delivers tasks with precision and efficiency, ensuring that efforts are aligned with the specified requirements. ","Engages in innovative efforts that are directly linked to personal financial gain,",,Fosters a culture of innovation
,The employee frequently proposes new ideas that are useful to the company/team,Disagree/Strongly Disagree,Disagree/Neutral/Agree,Neutral/Agree,Disagree/Neutral,Agree/Strongly Agree,Strongly Agree
,,,,,,,
,,They do not propose new ideas as they consider it to be more work to be done.,They might suggest new ideas if that makes their work easier.,"Might contribute with useful new ideas, enhancing team and company success and driving innovation.","Their mindset is often more transactional, and their contributions may be guided by personal interests rather than a genuine interest in driving innovation or benefiting the broader team. Their idea generation is more likely to be influenced by personal gain rather than the overall success of the team or organization.",Actively proposes new ideas to their department.,Consistently proposes valuable new ideas that affect the overall organization.
,The employee supports others in implementing new ideas,Disagree/Strongly Disagree,Disagree/Neutral/Agree,Agree,Neutral,Agree/Strongly Agree,Strongly Agree
,,,,,,,
,,"May resist and undermine the implementation of new ideas, hindering overall progress.","Might support new ideas strategically, with a focus on personal gain rather than team success.","Actively supports others in implementing new ideas, contributing to team success and fostering innovation.","While they may not actively resist the implementation of new ideas, their level of support is likely to be influenced by the perceived impact on their own agenda","Collaborates to support and implement new ideas, enhancing overall team performance.","Provides strong support for the implementation of innovative ideas, fostering organizational growth."
,The employee finds innovative approaches to complete their work,Disagree,Neutral,Neutral,Disagree,Agree/Strongly Agree,Strongly Agree
,,,,,,,
,,May not seek innovative approaches as they see this effort as extra work.,They might be perceived as innovative because they narrate their work as something really hard to be accomplished but that's not necessarily true.,Might/Might not utilize innovative approaches to complete work efficiently.,"Their focus on efficiency and effectiveness may lean more towards traditional or pragmatic methods that align with their personal goals, rather than actively seeking out innovative approaches.","Consistently seeks innovative approaches, contributing to overall team success and fostering creativity.","Actively seeks and implements innovative approaches, driving organizational growth and success."
